uniqid,name,type,staff_com,formed_combined2,stat2,isic1_1,isic1_2,isic2_1,isic2_2,isic3_1,isic3_2,cat1_1,cat1_2,cat_2_1,cat2_2,cat3_1,cat3_2,_merge,citizen_dummy,type_4cat,interestgroup
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1638,The Nationals,,,,,,,,,,,,,,,,,1,999,999,0
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
1640,The Pharmacy Guild of Australia,4,300,1928,1,1700,86,,,,,300,303,1800,,,,3,0,4,1
